Label,Response,Path
0,"The capital of Assam is Dispur.",responses/0.mp3
1,"The state animal of Assam is the One-horned Rhinoceros.",responses/1.mp3
2,"The state flower of Assam is the Foxtail Orchid.",responses/2.mp3
3,"The state festival of Assam is Bihu, celebrated in different forms like Rongali Bihu, Bhogali Bihu, and Kongali Bihu.",responses/3.mp3
4,"As of recent updates, the education minister of Assam is Dr. Ranoj Pegu. ",responses/4.mp3
5,"The current chief minister of Assam is Dr. Himanta Biswa Sarma.",responses/5.mp3
6,"The largest river in Assam is the Brahmaputra River.",responses/6.mp3
7,"Assam has 35 districts",responses/7.mp3
8,"Assam has 126 assembly constituencies.",responses/8.mp3
9,"The state bird of Assam is the White-winged Wood Duck.",responses/9.mp3
10,"The national capital of India is New Delhi.",responses/10.mp3
11,"The current prime minister of India is Narendra Modi.",responses/11.mp3
12,"The current president of India is Droupadi Murmu, and the vice president is Jagdeep Dhankhar.",responses/12.mp3
13,"India has 28 states and 8 union territories.",responses/13.mp3
14,"The national anthem of India is Jana Gana Mana, written by Rabindranath Tagore.",responses/14.mp3
15,"There are eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",responses/15.mp3
16,"The primary states of matter are Solid, Liquid, and Gas. Other states include Plasma and Bose-Einstein Condensate.",responses/16.mp3
17,"The atmosphere has five layers: Troposphere, Stratosphere, Mesosphere, Thermosphere, and Exosphere.",responses/17.mp3
18,"The boiling point of water is 100Â°C at standard atmospheric pressure.",responses/18.mp3
19,"AI, or Artificial Intelligence, refers to the simulation of human intelligence in machines designed to think, learn, and make decisions.",responses/19.mp3