Questions,Label
"What is the capital of Assam?",0
"Which city is the capital of Assam?",0
"Can you name the capital city of Assam?",0
"What is Assam's capital city?",0
"Do you know the capital of Assam?",0
"Which place is the capital of Assam?",0
"Tell me the name of Assam's capital city?",0
"What is the main city of Assam?",0
"Where is the capital of Assam?",0
"The capital of Assam is?",0
"What is the state flower of Assam?",2
"Can you name Assam's state flower?",2
"Which flower represents Assam?",2
"What is Assam's symbolic flower?",2
"What flower is Assam known for?",2
"State flower of Assam?",2
"Which is the official flower of Assam?",2
"Assam's state flower is?",2
"What is the main flower of Assam?",2
"Name Assam's state flower.",2
"What is the state animal of Assam?",1
"Can you name Assam's state animal?",1
"Which animal is the symbol of Assam?",1
"Do you know the state animal of Assam?",1
"What is the official animal of Assam?",1
"Which is Assam's state animal?",1
"Tell me the name of the state animal of Assam?",1
"What is the national animal of Assam?",1
"What animal represents Assam?",1
"The state animal of Assam is?",1
"What is the state festival of Assam?",3
"Can you name Assam's state festival?",3
"Which festival is the most popular in Assam?",3
"Do you know the state festival of Assam?",3
"What is the main festival of Assam?",3
"Which is Assam's state festival?",3
"Tell me the name of the state festival of Assam?",3
"What is the famous festival of Assam?",3
"Which festival represents Assam?",3
"The state festival of Assam is?",3
"Who is the Education Minister of Assam?",4
"Can you name Assam's Education Minister?",4
"Do you know who is Assam's Education Minister?",4
"What is the name of the Education Minister of Assam?",4
"Who is responsible for education in Assam?",4
"Who holds the position of Education Minister in Assam?",4
"Tell me the name of Assam's Education Minister?",4
"What is the current Education Minister of Assam called?",4
"Which person is the Education Minister of Assam?",4
"The Education Minister of Assam is?",4
"Who is the Chief Minister of Assam?",5
"Can you name Assam's Chief Minister?",5
"Do you know who is Assam's Chief Minister?",5
"What is the name of the Chief Minister of Assam?",5
"Who is the leader of Assam?",5
"Who holds the position of Chief Minister in Assam?",5
"Tell me the name of Assam's Chief Minister?",5
"What is the current Chief Minister of Assam called?",5
"Which person is the Chief Minister of Assam?",5
"The Chief Minister of Assam is?",5
"What is the largest river in Assam?",6
"Can you name Assam's largest river?",6
"Which river is the biggest in Assam?",6
"Do you know the largest river in Assam?",6
"What is the main river of Assam?",6
"Which is Assam's largest river?",6
"Tell me the name of the largest river in Assam?",6
"What is the biggest water body in Assam?",6
"What river represents Assam?",6
"The largest river of Assam is?",6
"How many districts are there in Assam?",7
"What is the total number of districts in Assam?",7
"Can you tell me how many districts Assam has?",7
"Do you know the number of districts in Assam?",7
"What is the count of districts in Assam?",7
"How many regions are there in Assam?",7
"Tell me the total districts of Assam?",7
"What is the district count in Assam?",7
"How many divisions are there in Assam?",7
"The number of districts in Assam is?",7
"How many constituencies are there in Assam?",8
"What is the total number of constituencies in Assam?",8
"Can you tell me how many constituencies Assam has?",8
"Do you know the number of constituencies in Assam?",8
"What is the count of constituencies in Assam?",8
"How many regions are represented in Assam's constituencies?",8
"Tell me the total constituencies of Assam?",8
"What is the constituency count in Assam?",8
"How many divisions are represented in Assam's constituencies?",8
"The number of constituencies in Assam is?",8
"What is the state bird of Assam?",9
"Can you name Assam's state bird?",9
"Which bird is the symbol of Assam?",9
"Do you know the state bird of Assam?",9
"What is the official bird of Assam?",9
"Which is Assam's state bird?",9
"Tell me the name of the state bird of Assam?",9
"What is the national bird of Assam?",9
"What bird represents Assam?",9
"The state bird of Assam is?",9
"What is the capital of India?",10
"Which city is the capital of India?",10
"Can you name the capital city of India?",10
"What is India's capital city?",10
"Do you know the capital of India?",10
"Which place is the capital of India?",10
"Tell me the name of India's capital city?",10
"What is the main city of India?",10
"Where is the capital of India?",10
"The capital of India is?",10
"Who is the Prime Minister of India?",11
"Can you name India's Prime Minister?",11
"Do you know who is India's Prime Minister?",11
"What is the name of the Prime Minister of India?",11
"Who is the leader of India?",11
"Who holds the position of Prime Minister in India?",11
"Tell me the name of India's Prime Minister?",11
"What is the current Prime Minister of India called?",11
"Which person is the Prime Minister of India?",11
"The Prime Minister of India is?",11
"Who is the President of India?",12
"Can you name India's President?",12
"Do you know who is India's President?",12
"What is the name of the President of India?",12
"Who holds the position of President in India?",12
"Tell me the name of India's President?",12
"What is the current President of India called?",12
"Which person is the President of India?",12
"The President of India is?",12
"Who is the Vice President of India?",12
"How many states are there in India?",13
"What is the total number of states in India?",13
"Can you tell me how many states India has?",13
"Do you know the number of states in India?",13
"What is the count of states in India?",13
"How many regions are there in India?",13
"Tell me the total states of India?",13
"What is the state count in India?",13
"How many divisions are there in India's states?",13
"The number of states in India is?",13
"What is the national anthem of India?",14
"Can you name India's national anthem?",14
"Do you know the national anthem of India?",14
"What is the name of India's national anthem?",14
"Who wrote India's national anthem?",14
"What is the name of the writer of India's national anthem?",14
"Tell me the name of India's national anthem?",14
"What is the title of the national anthem of India?",14
"What is India's national anthem?", 14
"What song is India's national anthem?", 14
How many planets are there in the solar system?,15
Can you list the planets in the solar system?,15
What is the order of planets in the solar system?,15
Name the planets in the solar system.,15
How many planets orbit the Sun?,15
Planets in the solar system are?,15
What are the names of solar system planets?,15
Which planets are in the solar system?,15
What planets exist in the solar system?,15
Can you name all planets in the solar system?,15
What are the states of matter?,16
Can you name the states of matter?,16
How many states of matter are there?,16
What are the basic states of matter?,16
States of matter are what?,16
Can you list the states of matter?,16
What are examples of states of matter?,16
What is matter's states?,16
How do we categorize states of matter?,16
Name the states of matter.,16
How many layers are there in the atmosphere?,17
Can you name the layers of the atmosphere?,17
What are the atmospheric layers?,17
Name the layers of Earth's atmosphere.,17
How many layers does the atmosphere have?,17
Atmosphere layers are what?,17
What are examples of atmospheric layers?,17
What is the structure of the atmosphere?,17
How do we divide the atmosphere?,17
What are the layers in the atmosphere?,17
What is the boiling point of water?,18
At what temperature does water boil?,18
What is water's boiling temperature?,18
Boiling point of water is what?,18
Can you name water's boiling point?,18
What temperature does water boil at?,18
How hot does water get when it boils?,18
What degree is water's boiling point?,18
At what degree does water boil?,18
What is the standard boiling point of water?,18
What is artificial intelligence?,19
Can you explain artificial intelligence?,19
What does AI stand for?,19
What is the meaning of AI?,19
Artificial intelligence refers to what?,19
What do we mean by artificial intelligence?,19
How would you define artificial intelligence?,19
What is AI in simple terms?,19
Can you describe artificial intelligence?,19
What is the concept of AI?,19
